#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
13650,-432136.92739492794,92545.031444798,-339591.89595012995,305.0192203490947,461.6000924454699
13700,-431840.37248146953,92091.31598215757,-339749.05649931193,303.52381930471273,461.5144724627877
13750,-432784.93847089517,91951.84818989589,-340833.0902809993,303.06414733102235,460.97785324862537
13800,-432740.8188656424,91271.70556593286,-341469.11329970957,300.82246488034286,460.97785324862537
13850,-430896.97276701825,90855.30080550032,-340041.67196151795,299.45003620001387,460.97785324862537
13900,-431001.2750000276,92967.69622950099,-338033.5787705266,306.4122814468806,460.81133050516564
13950,-431417.4307877964,92529.68945592234,-338887.74133187404,304.96865467946986,461.3664164930772
14000,-431873.31843008194,92091.64250297927,-339781.6759271027,303.5248954848697,461.65989932082937
14050,-431822.622969049,92178.96987779801,-339643.65309125104,303.81271782785774,461.29816527804803
14100,-431829.17257765983,90976.60596253708,-340852.5666151227,299.8498459342161,461.11085883344066
14150,-431478.28555653105,91954.0110220006,-339524.2745345305,303.0712758105532,461.11085883344066
14200,-431604.92121647904,91330.79736324577,-340274.1238532333,301.0172255678052,461.11085883344066
14250,-430945.66319695744,91614.36251111135,-339331.3006858461,301.9518280955673,461.11085883344066
14300,-431831.1932774999,92523.98100064561,-339307.21227685426,304.9498401785645,461.11085883344066
14350,-431341.7850880213,91884.58679732676,-339457.19829069456,302.84246047003444,460.94953018102694
14400,-431426.08273045253,92546.26235418228,-338879.8203762702,305.0232773040155,460.94953018102694
14450,-432514.1903870243,92822.91766375904,-339691.2727232653,305.93510569193796,460.47080479632683
14500,-432495.2466277927,91547.72835873382,-340947.5182690589,301.7322085558739,460.47080479632683
14550,-432058.6326971047,91925.88646136795,-340132.74623573676,302.9785800556011,460.48367121108276
14600,-432153.2547387467,92168.65077300047,-339984.60396574624,303.77870708464536,460.48367121108276
14650,-432604.51752611925,92243.22212138752,-340361.29540473176,304.0244868330587,460.48367121108276
14700,-432168.4456948866,90832.61962652439,-341335.8260683622,299.37528128967637,460.48367121108276
14750,-432123.17214531475,91690.95227489586,-340432.2198704189,302.20426034040594,460.48367121108276
14800,-431363.108638837,91462.49864990264,-339900.60998893436,301.451299911375,460.48367121108276
14850,-432734.6066631144,91952.05277135396,-340782.5538917604,303.06482161116327,460.48367121108276
14900,-432564.23183808196,91815.34458689218,-340748.8872511898,302.6142450303476,460.7943722903679
14950,-432869.37711616186,91436.3272055745,-341433.0499105874,301.3650414335318,460.7943722903679
15000,-431679.9341375509,92378.32553475464,-339301.6086027962,304.4697742479354,460.8469991910713
15050,-432697.38756098226,91064.73982954095,-341632.6477314413,300.1403263952434,460.8469991910713
15100,-432754.56861033174,91458.82998518147,-341295.7386251503,301.43920835729045,460.1836254259289
15150,-431475.9823144402,92386.66416447263,-339089.3181499676,304.49725754223715,460.60861978635154
15200,-431586.91687294864,91643.88037987752,-339943.0364930711,302.04911605556754,460.60861978635154
15250,-431558.1057503151,92891.8392361018,-338666.2665142133,306.1622643403605,460.65409410067
15300,-432249.15242409543,91360.60260194607,-340888.54982214933,301.11546067053035,461.6201668591566
15350,-431697.8850952403,92922.0895248199,-338775.79557042045,306.2619662836856,459.98298372864275
15400,-432313.3793354372,90899.66236830429,-341413.71696713293,299.5962474994072,459.9922535868966
15450,-431772.7033081462,92029.05602986627,-339743.64727827994,303.31861669350405,459.55959620408083
15500,-431309.295294899,92915.47407285766,-338393.8212220414,306.24016241190253,459.6505236736547
